"filename", "language", "PHP", "MS SQL", "Diff", "JavaScript", "CSS", "HTML", "SVG", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\ntriples\ntriples.js", "JavaScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 39, 18, 196
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\octave\octave.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 9, 27, 140
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\oz\oz.js", "JavaScript", 0, 0, 0, 191, 0, 0, 0, 0, 0, 19, 43, 253
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\pascal\pascal.js", "JavaScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 3, 14, 137
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\pegjs\pegjs.js", "JavaScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 8, 115
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\perl\perl.js", "JavaScript", 0, 0, 0, 799, 0, 0, 0, 0, 0, 22, 16, 837
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\php\php.js", "JavaScript", 0, 0, 0, 209, 0, 0, 0, 0, 0, 9, 17, 235
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\pig\pig.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 24, 19, 179
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\powershell\powershell.js", "JavaScript", 0, 0, 0, 343, 0, 0, 0, 0, 0, 9, 47, 399
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\properties\properties.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 14, 79
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\protobuf\protobuf.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 14, 73
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\pug\pug.js", "JavaScript", 0, 0, 0, 507, 0, 0, 0, 0, 0, 20, 65, 592
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\plugins\codemirror\mode\puppet\puppet.js", "JavaScript", 0, 0, 0, 155, 0, 0, 0, 0, 0, 55, 11, 221
